context	label	year	test_type	question_number	question	answers
Of course, most accomplished musicians can play compositions containing many thousands of notes entirely from  memory, without a note out of place.	1	2021	6월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	2
But this seemingly awesome accomplishment of recall is made improbable by remembering the musical process, not the individual notes as such.	0	2021	6월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	3
If you ask a pianist to start a Mozart sonata from bar forty-one, she’ll probably have to mentally replay the music from the start until reaching that bar ― the score is not simply laid out in her mind, to be read from any random point.	1	2021	6월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	4
It’s rather like describing how you drive to work: you don’t simply recite the names of roads as an abstract list, but have to construct your route by mentally retracing it.	1	2021	6월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
When musicians make a mistake during rehearsal, they wind back to the 5 start of a musical phrase (‘let’s take it from the second verse’) before restarting.	1	2021	6월	30	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	5
Not all organisms are able to find sufficient food to survive, so starvation is a kind of disvalue often found in nature.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
It also is part of the process of selection by which biological evolution functions.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
Starvation helps filter out those less fit to survive, those less resourceful in finding food for themselves and their young.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
In some circumstances, it may pave the way for genetic variants to take hold in the population of a species and eventually allow the emergence of a new species in place of the old one.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
Thus starvation is a disvalue that can help make possible the good of greater diversity.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
Starvation can be of practical or instrumental value, even as it is an intrinsic disvalue.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
What some organisms must starve in nature is deeply regrettable and sad.	0	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
The statement remains implacably true, even though starvation also may sometimes subserve ends that are good.	1	2019	9월	29	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
For every toxic substance, process, or product in use today, there is a safer alternative ― either already in existence, or waiting to be discovered through the application of human intellect, ingenuity, and effort. 	1	2019	9월	30	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
In almost every case, the safer alternative is available at a comparable cost. Industry may reject these facts and complain about the high cost of acting, but history sets the record straight. 	1	2019	9월	30	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	A
In almost every case, the safer alternative is unavailable at a comparable cost. Industry may reject these facts and complain about the high cost of acting, but history sets the record straight. 	0	2019	9월	30	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	A
The chemical industry denied that there were practical alternatives to ozone-depleting chemicals, predicting not only economic disaster but numerous deaths because food and vaccines would spoil without refrigeration.	1	2019	9월	30	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	B
The chemical industry denied that there were practical alternatives to ozone-depleting chemicals,preventing not only economic disaster but numerous deaths because food and vaccines would spoil without refrigeration.	0	2019	9월	30	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	B
They were wrong.	1	2019	9월	30	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
The motor vehicle industry initially denied that cars caused air pollution, then claimed that no technology existed to reduce pollution from vehicles, and later argued that installing devices to reduce air pollution would make cars extremely expensive.	1	2019	9월	30	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
They were wrong every time.	1	2019	9월	30	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
The pesticide industry argues that synthetic pesticides are absolutely necessary  to grow food. 	1	2019	9월	30	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	C
The pesticide industry argues that synthetic pesticides are absolutely unnecessary  to grow food. 	0	2019	9월	30	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	C
Thousands of organic farmers are proving them wrong.	1	2019	9월	30	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
Humans are so averse to feeling that they’re being cheated that they often respond in ways that seemingly make little sense. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
Behavioral economists ― the economists who actually study what people do as opposed to the kind who simply assume the human mind works like a calculator ― have shown again and again that people reject unfair offers even if it costs them money to do so. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
Behavioral economists ― the economists who actually study what people do as opposed to the kind who simply assume the human mind works like a calculator ― have shown again and again that people reject unfair offers even if it costs them money to do so. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
The typical experiment uses a task called the ultimatum game. It’s pretty straightforward. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
One person in a pair is given some money ― say $10. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
She then has the opportunity to offer some amount of it to her partner. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
The partner only has two options. He can take what’s offered or refused to take anything. 	0	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
There’s no room for negotiation; that’s why it’s called the ultimatum game. 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
What typically happens? 	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Many people offer an equal split to the partner, leaving both individuals happy and willing to trust each other in the future.	1	2019	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
The lack of real, direct experience in and with nature has caused many children to regard the natural world as mere abstraction, that fantastic, beautifully filmed place filled with endangered rainforests and polar bears in peril. 	1	2018	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
This overstated, often fictionalized version of nature is no more real ― and yet no less real ― to them than the everyday nature right outside their doors, waits to be discovered in a child’s way, at a child’s pace. 	0	2018	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
Consider the University of Cambridge study which found that a group of eight-year-old children was able to identify substantially more characters from animations than common wildlife species. 	1	2018	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
One wonders whether our children’s inherent capacity to recognize, classify, and order information about their environment ― abilities once essential to our very survival ― is slowly devolving to facilitate life in their increasingly virtualized world. 	1	2018	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
It’s all part of what Robert Pyle first called “the extinction of experience.”	1	2018	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
Why does the “pure” acting of the movies not seem unnatural to the audience, who, after all, are accustomed in real life to people whose expression is more or less indistinct?	1	2018	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
Most people’s perception in these matters is not very sharp. 	1	2018	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
They are not in the habit of observing closely the play of features of their fellow men ― either in real life or at the movies. 	1	2018	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
They are disappointed with grasping the meaning of what they see. 	0	2018	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	A
They are satisfied with grasping the meaning of what they see. 	1	2018	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	A
Thus, they often take in the overemphasized expression of film actors more easily than any that is too naturalistic. 	1	2018	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
And as far as lovers of art are concerned, they do not look at the movies for imitations of nature but for art. 	1	2018	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
They know that artistic is always explaining, refining, and making clear the object depicted. 	1	2018	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	B
They know that real representation is always explaining, refining, and making clear the object depicted. 	0	2018	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	B
Things that in real life are imperfectly realized, merely hinted at, and entangled with other  things appear in a work of art complete, entire, and free from irrelevant matters. 	1	2018	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	C
Things that in real life are imperfectly realized, merely hinted at, and entangled with other  things appear in a work of art complete, entire, and inseparable from irrelevant matters. 	0	2018	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	C
This is also true of acting in film.	1	2018	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
Though most bees fill their days visiting flowers and collecting pollen, some bees take advantage of the hard work of others. 	1	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
These thieving bees sneak into the nest of an unsuspecting “normal” bee (known as the host), lay an egg near the pollen mass being gathered by the host bee for her own offspring, and then sneak back out. 	1	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
When the egg of the thief hatches, it kills the host’s offspring and then eats the pollen meant for its victim. 	1	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
Sometimes called brood parasites, these bees are also referred to as cuckoo bees, because they are similar to cuckoo birds, which lay an egg in the nest of another bird and leaves it for that bird to raise.	0	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
They are more technically called cleptoparasites.	1	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
Clepto means “thief” in Greek, and the term cleptoparasite refers specifically to an organism that lives off another by stealing its food.	1	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
In this case the cleptoparasite feeds on the host’s hard-earned pollen stores.	1	2018	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Some coaches erroneously believe that mental skills training (MST) can only help perfect the performance of highly skilled competitors. 	1	2018	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
As a result, they shy away from MST, denying that because they are not coaching elite athletes, mental skills training is less important. 	0	2018	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	A
As a result, they shy away from MST, rationalizing that because they are not coaching elite athletes, mental skills training is less important. 	1	2018	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	A
It is true that mental skills become increasingly important at high levels of competition. 	1	2018	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
As athletes move up the competitive ladder, they become more homogeneous in terms of physical skills. 	1	2018	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
In fact, at high levels of competition, all athletes have the physical skills to be successful. 	1	2018	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
Consequently, any small difference in physical factors can play a huge role in determining performance outcomes.	0	2018	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	B
Consequently, any small difference in mental factors can play a huge role in determining performance outcomes.	1	2018	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	B
However, we can anticipate that personal growth and performance will progress faster in young, developing athletes who are given mental skills training than in athletes not exposed to MST.	1	2018	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
In fact, the optimal time for introducing MST may be when athletes are first beginning their sport. 	1	2018	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
Introducing MST early in athletes’ careers may lay the foundation that will help them develop to their full potential.	1	2018	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	C
Introducing MST later in athletes’ careers may lay the foundation that will help them develop to their full potential.	0	2018	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	C
Like life in traditional society, but unlike other team sports, baseball is not governed by the clock.	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	0
A football game is comprised of exactly sixty minutes of play, a basketball game forty or forty-eight minutes, but baseball has no set length of time within which the game must be completed. 	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	0
The pace of the game is therefore leisurely and unhurried, like the world before the discipline of measured time, deadlines, schedules, and wages paid by the hour. 	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	A
The pace of the game is therefore leisurely and unhurriedly, like the world before the discipline of measured time, deadlines, schedules, and wages paid by the hour. 	0	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	A
Baseball belongs to the kind of world which people did not say, “I haven’t got all day.” 	0	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	B
Baseball belongs to the kind of world in which people did not say, “I haven’t got all day.” 	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	B
Baseball games do have all day to be played. But that does not mean that they can go on forever.	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	0
Baseball, like traditional life, proceeds according to the rhythm of nature, specifically the rotation of the Earth. 	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	0
During its first half century, games were not played at night, which meant that baseball games, like the traditional work day, ending when the sun set.	0	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	C
During its first half century, games were not played at night, which meant that baseball games, like the traditional work day, ended when the sun set.	1	2017	9월	28	(A), (B), (C)의 각 네모 안에서 어법에 맞는 표현으로 가장 적절한 것은? 	C
You can’t have a democracy if you can’t talk with your neighbors about matters of mutual interest or concern. 	1	2017	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
Thomas Jefferson, who had an enduring interest in democracy, came to a similar conclusion. 	1	2017	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
He was prescient in understanding the dangers of concentrated power, whether in corporations or in political leaders or exclusionary political institutions.	1	2017	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	A
He was prescient in understanding the dangers of limited power, whether in corporations or in political leaders or exclusionary political institutions.	0	2017	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	A
Direct involvement of citizens was what had made the American Revolution possible and given the new republic vitality and hope for the future. 	1	2017	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
Without that involvement, the republic would die. 	1	2017	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
Eventually, he saw a need for the nation to be blended into “wards” ― political units so small that everyone living there could participate directly in the political process. 	0	2017	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	B
Eventually, he saw a need for the nation to be  subdivided into “wards” ― political units so small that everyone living there could participate directly in the political process. 	1	2017	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	B
The representatives for each ward in the capital would have to be resistant to citizens organized in this way.	0	2017	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	C
The representatives for each ward in the capital would have to be responsive to citizens organized in this way.	1	2017	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	C
A vibrant democracy conducted locally would then provide the active basic unit for the democratic life of the republic. 	1	2017	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
With that kind of involvement, the republic might survive and prosper.	1	2017	9월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
If an animal is innately programmed for some type of behaviour, then there are likely to be biological clues.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
It is no accident that fish have bodies which are streamlined and smooth, with fins and a powerful tail.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
Their bodies are structurally adapted for moving fast through the water.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Similarly, if you found a dead bird or mosquito, you could guess by looking at its wings that flying was its normal mode of transport.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
However, we must not be over-optimistic.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Biological clues are not essential.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
The extent to which they are finding varies from animal to animal and from activity to activity.	0	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
For example, it is impossible to guess from their bodies that birds make nests, and, sometimes, animals behave in a way quite contrary to what might be expected from their physical form: ghost spiders have tremendously long legs, yet they weave webs out of very short threads.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
To a human observer, their legs seem a great hindrance as they spin and move about the web.	1	2017	6월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
In 2001, researchers at Wayne State University asked a group of college volunteers to exercise for twenty minutes at a preset pace on each of three machines: a treadmill, a stationary bike, and a stair climber.	0	2017	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	A
In 2001, researchers at Wayne State University asked a group of college volunteers to exercise for twenty minutes at a self-selected pace on each of three machines: a treadmill, a stationary bike, and a stair climber.	1	2017	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	A
Measurements of heart rate, oxygen consumption, and perceived effort were taken throughout all three workouts.	1	2017	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
The researchers expected to find that the subjects unconsciously targeted the same relative physiological intensity in each activity.	1	2017	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
Perhaps they would automatically exercise at 65 percent of their maximum heart rate regardless of which machine they were using.	1	2017	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	B
Perhaps they would intentionally exercise at 65 percent of their maximum heart rate regardless of which machine they were using.	0	2017	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	B
Or maybe they would instinctively settle into rhythm at 70 percent of their maximum rate of oxygen consumption in all three workouts.	1	2017	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
But that’s not what happened.	1	2017	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
There was, in fact, no consistency in measurements of heart rate and oxygen consumption across the three disciplines.	1	2017	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	C
There was, in fact, no variation in measurements of heart rate and oxygen consumption across the three disciplines.	0	2017	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	C
Instead, the subjects were found to have chosen the same level of perceived effort on the treadmill, the bike, and the stair climber.	1	2017	6월	29	(A), (B), (C)의 각 네모 안에서 문맥에 맞는 낱말로 가장 적절한 것은?	0
The Internet and communication technologies play an ever-increasing role in the social lives of young people in developed societies.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Adolescents have been quick to immerse themselves in technology with most using the Internet to communicate.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	1
Young people treat the mobile phone as an essential necessity of life and often prefer to use text messages to communicate with their friends.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
Young people also increasingly access social networking websites.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	2
As technology and the Internet are a familiar resource for young people, it is logical what they would seek assistance from this source.	0	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	3
This has been shown by the increase in websites that provide therapeutic information for young people.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
A number of ‘youth friendly’ mental health websites have been developed.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	4
The information presented often takes the form of Frequently Asked Questions, fact sheets and suggested links.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	5
It would seem, therefore, logical to provide online counselling for young people.	1	2016	9월	28	다음 글의 밑줄 친 부분 중, 어법상 틀린 것은?	0
An Egyptian executive, after entertaining his Canadian guest, offered him joint partnership in a new business venture.	1	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
The Canadian, delighted with the offer, suggested that they meet again the next morning with their respective lawyers to finalize the details.	1	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	1
The Egyptian never showed up.	1	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
The surprised and disappointed Canadian tried to understand what had gone wrong: 	1	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
Did Egyptians lack punctuality? 	1	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	2
Was the Egyptian expecting a counter-offer? 	1	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
Were lawyers unavailable in Cairo? 	1	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
None of these explanations proved to be correct; 	1	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	0
rather, the problem was caused by the different meaning Canadians and Egyptians attach to inviting lawyers.	1	2016	9월	29	다음 글의 밑줄 친 부분 중,문맥상 낱말의 쓰임이 적절하지 않은 것은? 	3
